fips,cbsa,metarea,metareano,state_fips,year,reform_date,event_time,treated,exposure_intensity
,,10740,,,1958,2012-01-01,-54,1,0.04090441
,,10740,,,1959,2012-01-01,-53,1,0.04090441
,,10740,,,1960,2012-01-01,-52,1,0.04090441
,,10740,,,1961,2012-01-01,-51,1,0.04090441
,,10740,,,1962,2012-01-01,-50,1,0.04090441
,,10740,,,1963,2012-01-01,-49,1,0.04090441
,,10740,,,1964,2012-01-01,-48,1,0.04090441
,,10740,,,1965,2012-01-01,-47,1,0.04090441
,,10740,,,1966,2012-01-01,-46,1,0.04090441
,,10740,,,1967,2012-01-01,-45,1,0.04090441
,,10740,,,1968,2012-01-01,-44,1,0.04090441
,,10740,,,1969,2012-01-01,-43,1,0.04090441
,,10740,,,1970,2012-01-01,-42,1,0.04090441
,,10740,,,1971,2012-01-01,-41,1,0.04090441
,,10740,,,1972,2012-01-01,-40,1,0.04090441
,,10740,,,1973,2012-01-01,-39,1,0.04090441
,,10740,,,1974,2012-01-01,-38,1,0.04090441
,,10740,,,1975,2012-01-01,-37,1,0.04090441
,,10740,,,1976,2012-01-01,-36,1,0.04090441
,,10740,,,1977,2012-01-01,-35,1,0.04090441
,,10740,,,1978,2012-01-01,-34,1,0.04090441
,,10740,,,1979,2012-01-01,-33,1,0.04090441
,,10740,,,1980,2012-01-01,-32,1,0.04090441
,,10740,,,1981,2012-01-01,-31,1,0.04090441
,,10740,,,1982,2012-01-01,-30,1,0.04090441
,,10740,,,1983,2012-01-01,-29,1,0.04090441
,,10740,,,1984,2012-01-01,-28,1,0.04090441
,,10740,,,1985,2012-01-01,-27,1,0.04090441
,,10740,,,1986,2012-01-01,-26,1,0.04090441
,,10740,,,1987,2012-01-01,-25,1,0.04090441
,,10740,,,1988,2012-01-01,-24,1,0.04090441
,,10740,,,1989,2012-01-01,-23,1,0.04090441
,,10740,,,1990,2012-01-01,-22,1,0.04090441
,,10740,,,1991,2012-01-01,-21,1,0.04090441
,,10740,,,1992,2012-01-01,-20,1,0.04090441
,,10740,,,1993,2012-01-01,-19,1,0.04090441
,,10740,,,1994,2012-01-01,-18,1,0.04090441
,,10740,,,1995,2012-01-01,-17,1,0.04090441
,,10740,,,1996,2012-01-01,-16,1,0.04090441
,,10740,,,1997,2012-01-01,-15,1,0.04090441
,,10740,,,1998,2012-01-01,-14,1,0.04090441
,,10740,,,1999,2012-01-01,-13,1,0.04090441
,,10740,,,2000,2012-01-01,-12,1,0.04090441
,,10740,,,2001,2012-01-01,-11,1,0.04090441
,,10740,,,2002,2012-01-01,-10,1,0.04090441
,,10740,,,2003,2012-01-01,-9,1,0.04090441
,,10740,,,2004,2012-01-01,-8,1,0.04090441
,,10740,,,2005,2012-01-01,-7,1,0.04090441
,,10740,,,2006,2012-01-01,-6,1,0.04090441
,,10740,,,2007,2012-01-01,-5,1,0.04090441
,,10740,,,2008,2012-01-01,-4,1,0.04090441
,,10740,,,2009,2012-01-01,-3,1,0.04090441
,,10740,,,2010,2012-01-01,-2,1,0.04090441
,,10740,,,2011,2012-01-01,-1,1,0.04090441
,,10740,31,,2012,2012-01-01,0,1,0.04090441
,,10740,31,,2013,2012-01-01,1,1,0.04090441
,,10740,31,,2014,2012-01-01,2,1,0.04090441
,,10740,31,,2015,2012-01-01,3,1,0.04090441
,,10740,31,,2016,2012-01-01,4,1,0.04090441
,,10740,31,,2017,2012-01-01,5,1,0.04090441
,,10740,31,,2018,2012-01-01,6,1,0.04090441
,,"108. boise city, id",,ID,1940,,,0,
,,"108. boise city, id",,ID,1944,,,0,
,,"108. boise city, id",,ID,1945,,,0,
,,"108. boise city, id",,ID,1946,,,0,
,,"108. boise city, id",,ID,1947,,,0,
,,"108. boise city, id",,ID,1948,,,0,
,,"108. boise city, id",,ID,1949,,,0,
,,"108. boise city, id",,ID,1950,,,0,
,,"108. boise city, id",,ID,1951,,,0,
,,"108. boise city, id",,ID,1952,,,0,
,,"108. boise city, id",,ID,1953,,,0,
,,"108. boise city, id",,ID,1954,,,0,
,,"108. boise city, id",,ID,1955,,,0,
,,"108. boise city, id",,ID,1956,,,0,
,,"108. boise city, id",,ID,1957,,,0,
,,"108. boise city, id",,ID,1958,,,0,
,,"108. boise city, id",,ID,1959,,,0,
,,"108. boise city, id",,ID,1960,,,0,
,,"108. boise city, id",,ID,1961,,,0,
,,"108. boise city, id",,ID,1962,,,0,
,,"108. boise city, id",,ID,1963,,,0,
,,"108. boise city, id",,ID,1964,,,0,
,,"108. boise city, id",,ID,1965,,,0,
,,"108. boise city, id",,ID,1966,,,0,
,,"108. boise city, id",,ID,1967,,,0,
,,"108. boise city, id",,ID,1968,,,0,
,,"108. boise city, id",,ID,1969,,,0,
,,"108. boise city, id",,ID,1970,,,0,
,,"108. boise city, id",,ID,1971,,,0,
,,"108. boise city, id",,ID,1972,,,0,
,,"108. boise city, id",,ID,1973,,,0,
,,"108. boise city, id",,ID,1974,,,0,
,,"108. boise city, id",,ID,1975,,,0,
,,"108. boise city, id",,ID,1976,,,0,
,,"108. boise city, id",,ID,1977,,,0,
,,"108. boise city, id",,ID,1978,,,0,
,,"108. boise city, id",,ID,1979,,,0,
,,"108. boise city, id",,ID,1980,,,0,
,,"108. boise city, id",,ID,1981,,,0,
,,"108. boise city, id",,ID,1982,,,0,
,,"108. boise city, id",,ID,1983,,,0,
,,"108. boise city, id",,ID,1984,,,0,
,,"108. boise city, id",,ID,1985,,,0,
,,"108. boise city, id",,ID,1986,,,0,
,,"108. boise city, id",,ID,1987,,,0,
,,"108. boise city, id",,ID,1988,,,0,
,,"108. boise city, id",,ID,1989,,,0,
,,"108. boise city, id",,ID,1990,,,0,
,,"108. boise city, id",,ID,1991,,,0,
,,"108. boise city, id",,ID,1992,,,0,
,,"108. boise city, id",,ID,1993,,,0,
,,"108. boise city, id",,ID,1994,,,0,
,,"108. boise city, id",,ID,1995,,,0,
,,"108. boise city, id",,ID,1996,,,0,
,,"108. boise city, id",,ID,1997,,,0,
,,"108. boise city, id",,ID,1998,,,0,
,,"108. boise city, id",,ID,1999,,,0,
,,"108. boise city, id",,ID,2000,,,0,
,,"108. boise city, id",,ID,2001,,,0,
,,"108. boise city, id",,ID,2002,,,0,
,,"108. boise city, id",,ID,2003,,,0,
,,"108. boise city, id",,ID,2004,,,0,
,,"108. boise city, id",,ID,2005,,,0,
,,"108. boise city, id",,ID,2006,,,0,
,,"108. boise city, id",,ID,2007,,,0,
,,"108. boise city, id",,ID,2008,,,0,
,,"108. boise city, id",,ID,2009,,,0,
,,"108. boise city, id",,ID,2010,,,0,
,,"108. boise city, id",,ID,2011,,,0,
,,"108. boise city, id",,ID,2012,,,0,
,,"108. boise city, id",,ID,2013,,,0,
,,"108. boise city, id",,ID,2014,,,0,
,,10900,,,1940,,,0,
,,10900,,,1944,,,0,
,,10900,,,1945,,,0,
,,10900,,,1946,,,0,
,,10900,,,1947,,,0,
,,10900,,,1948,,,0,
,,10900,,,1949,,,0,
,,10900,,,1950,,,0,
,,10900,,,1951,,,0,
,,10900,,,1952,,,0,
,,10900,,,1953,,,0,
,,10900,,,1954,,,0,
,,10900,,,1955,,,0,
,,10900,,,1956,,,0,
,,10900,,,1957,,,0,
,,10900,,,1958,,,0,
,,10900,,,1959,,,0,
,,10900,,,1960,,,0,
,,10900,,,1961,,,0,
,,10900,,,1962,,,0,
,,10900,,,1963,,,0,
,,10900,,,1964,,,0,
,,10900,,,1965,,,0,
,,10900,,,1966,,,0,
,,10900,,,1967,,,0,
,,10900,,,1968,,,0,
,,10900,,,1969,,,0,
,,10900,,,1970,,,0,
,,10900,,,1971,,,0,
,,10900,,,1972,,,0,
,,10900,,,1973,,,0,
,,10900,,,1974,,,0,
,,10900,,,1975,,,0,
,,10900,,,1976,,,0,
,,10900,,,1977,,,0,
,,10900,,,1978,,,0,
,,10900,,,1979,,,0,
,,10900,,,1980,,,0,
,,10900,,,1981,,,0,
,,10900,,,1982,,,0,
,,10900,,,1983,,,0,
,,10900,,,1984,,,0,
,,10900,,,1985,,,0,
,,10900,,,1986,,,0,
,,10900,,,1987,,,0,
,,10900,,,1988,,,0,
,,10900,,,1989,,,0,
,,10900,,,1990,,,0,
,,10900,,,1991,,,0,
,,10900,,,1992,,,0,
,,10900,,,1993,,,0,
,,10900,,,1994,,,0,
,,10900,,,1995,,,0,
,,10900,,,1996,,,0,
,,10900,,,1997,,,0,
,,10900,,,1998,,,0,
,,10900,,,1999,,,0,
,,10900,,,2000,,,0,
,,10900,,,2001,,,0,
,,10900,,,2002,,,0,
,,10900,,,2003,,,0,
,,10900,,,2004,,,0,
,,10900,,,2005,,,0,
,,10900,,,2006,,,0,
,,10900,,,2007,,,0,
,,10900,,,2008,,,0,
,,10900,,,2009,,,0,
,,10900,,,2010,,,0,
,,10900,,,2011,,,0,
,,10900,,,2012,,,0,
,,10900,,,2013,,,0,
,,10900,,,2014,,,0,
,,10900,,,2015,,,0,
,,10900,,,2016,,,0,
,,10900,,,2017,,,0,
,,11100,,,1940,,,0,
,,11100,,,1944,,,0,
,,11100,,,1945,,,0,
,,11100,,,1946,,,0,
,,11100,,,1947,,,0,
,,11100,,,1948,,,0,
,,11100,,,1949,,,0,
,,11100,,,1950,,,0,
,,11100,,,1951,,,0,
,,11100,,,1952,,,0,
,,11100,,,1953,,,0,
,,11100,,,1954,,,0,
,,11100,,,1955,,,0,
,,11100,,,1956,,,0,
,,11100,,,1957,,,0,
,,11100,,,1958,,,0,
,,11100,,,1959,,,0,
,,11100,,,1960,,,0,
,,11100,,,1961,,,0,
,,11100,,,1962,,,0,
